Intersection,Latitude,Longitude,District,County,AnnualEst,logAnnualEst,PopT,WalkComT,HseHldT,PrincArt,MinorArt,Collector,Int4way,SchoolsT,Signal,MaxSlope,EmpSF_T,EmpT,StMetersT,StSegT
Nichols Avenue & Mission Boulevard,37.5790451,-121.98306,4,Alameda,12533,9.436120524,81.59853863,0.365475144,30.52711104,1,0,0,1,0,0,0.0363,8750,28,7609.628256,63
Cherry Lane & Mowry Avenue,37.567436,-121.9731564,4,Alameda,65175,11.08483125,233.7326444,0.243213416,83.34883533,1,0,1,0,0,0,0.0084,151250,164,7131.952991,121
Paseo Padre Parkway & Mowry Avenue,37.5547591,-121.9832439,4,Alameda,706238,13.46770757,298.9802816,10.21645748,114.7519922,2,0,0,1,0,1,0.0044,947500,849,8226.67987,104
Warm Springs Boulevard & Grimmer Boulevard,37.5051352,-121.9378996,4,Alameda,18905,9.847181769,4.567357679,0.015782162,1.500357533,0,2,0,1,0,0,0.0166,26250,722,5586.070446,48
Foothill Boulevard & D Street,37.6709111,-122.0804027,4,Alameda,214003,12.27374532,113.5667761,2.329925614,57.07953387,1,0,1,1,0,1,0.0106,111250,199,10706.45123,109
Santa Clara Street & Ocie Way,37.6592051,-122.1005363,4,Alameda,75206,11.22798631,324.633579,0,92.66493555,0,1,0,1,0,0,0.0072,0,1,13355.13044,156
Amador Street & Winton Avenue,37.6590622,-122.0947415,4,Alameda,605701,13.31414175,383.7867659,5.165907759,121.0034859,0,1,0,1,0,0,0.02,228750,784,6166.171694,80
Vasco Road & East Avenue,37.6798078,-121.7188223,4,Alameda,43069,10.67055878,127.2292007,0.448041108,38.73958511,0,2,0,1,0,0,0.0137,130000,6569,5593.917529,57
1st Street & Railroad Avenue,37.683583,-121.766648,4,Alameda,288772,12.57339273,176.5175906,0.675849127,65.90849206,1,0,0,1,0,1,0.0075,260000,377,10189.27127,152
Willow Street & Thornton Avenue,37.5255012,-122.0517031,4,Alameda,23221,10.05281236,8.880353736,0,2.390719435,1,1,0,1,0,0,0.0041,0,111,7119.365129,69
San Leandro Street & 66th Avenue,37.7568289,-122.2007531,4,Alameda,75620,11.23347609,268.6197855,2.722264462,79.47241846,0,0,0,1,0,1,0.0059,7500,191,5795.881828,50
Bancroft Avenue & Auseon Avenue,37.7563427,-122.1675956,4,Alameda,193824,12.17470581,543.7154712,6.69036881,146.7924583,0,1,0,1,0,0,0.009,11250,19,10198.74868,93
Broadway & 12th Street,37.80295,-122.2720566,4,Alameda,6804804,15.73313939,637.3472257,65.41374648,332.8927466,1,1,0,1,2,1,0.0053,4632500,7315,11517.62311,144
Broadway & 20th Street,37.8090704,-122.2682836,4,Alameda,10896861,16.20398532,446.7343902,23.12385086,268.3672655,0,1,0,1,0,1,0.0134,1497500,2846,11202.81903,156
Airport Access Road & Doolittle Drive,37.7255523,-122.1994793,4,Alameda,12153,9.405331414,63.58350123,0.522614347,17.21368199,2,0,0,1,0,1,0.0253,26250,43,7487.657373,74
Fruitvale Avenue & Foothill Boulevard,37.7837518,-122.2227823,4,Alameda,2587734,14.76629315,760.1442788,31.12601591,219.4904863,1,1,0,1,0,0,0.0153,195000,308,8061.782189,88
Fruitvale Avenue & Alameda Avenue,37.7695896,-122.2297459,4,Alameda,76998,11.25153474,176.8403654,0.405494875,60.90363012,1,0,0,0,0,1,0.0636,0,2,7627.822973,104
Staten Avenue & Grand Avenue,37.8087775,-122.2538248,4,Alameda,1686542,14.33819084,967.4731511,65.17110919,594.5714051,0,0,0,1,0,1,0.022,538750,539,6470.026947,74
Grand Avenue & Lake Park Avenue,37.8114199,-122.2480112,4,Alameda,1057721,13.87162715,529.9186655,21.88495364,290.6372791,0,1,0,0,1,1,0.0396,425000,881,13401.82919,191
Park Avenue & Otis Drive,37.7568911,-122.2473554,4,Alameda,717381,13.48336236,359.5936648,0.420113108,176.2176419,0,1,0,1,0,0,0.0056,16250,43,7700.174848,74
MacArthur Boulevard & 38th Avenue,37.7907965,-122.1979519,4,Alameda,503405,13.1291503,519.2161607,0.575741935,183.7024163,0,1,0,1,1,0,0.0122,125000,180,10483.51324,108
Telegraph Avenue & 27th Street,37.8161306,-122.267929,4,Alameda,788757,13.57821357,518.6590589,37.07792643,215.7844876,1,1,0,1,0,1,0.0092,317500,276,14573.24295,263
Webster Street & 7th Street,37.7985795,-122.2717904,4,Alameda,2348910,14.66946195,527.962681,73.54803919,282.1204074,1,1,0,1,0,1,0.0098,807500,1148,18243.68057,427
Grand Avenue & Oakland Avenue,37.8227454,-122.2434654,4,Alameda,285662,12.56256458,283.8141617,2.459265419,103.2090913,0,1,0,1,0,1,0.1124,0,7,9689.352807,106
Main Street & Bernal Avenue,37.6565218,-121.8789044,4,Alameda,78249,11.26765134,105.4892732,1.819339591,41.6629533,1,0,0,0,0,0,0.0107,125000,383,8174.476203,109
Andrew Drive & Owens Drive,37.6928136,-121.8832979,4,Alameda,183056,12.1175474,410.3230841,14.09637797,155.8641899,1,0,1,0,0,0,0.0036,0,5,7453.173804,108
Hopyard Road & Stoneridge Drive,37.6915709,-121.9037873,4,Alameda,155427,11.95393145,114.6892288,0.169568396,39.14029003,1,1,0,1,0,1,0.0031,87500,97,8286.292345,82
Bancroft Avenue & Estudillo Avenue,37.7271984,-122.1478806,4,Alameda,343947,12.74824286,347.8466371,1.611678831,141.3100123,0,2,0,1,1,0,0.006,138750,291,9490.8048,89
Pierce Avenue & Davis Street,37.7211573,-122.1705023,4,Alameda,107554,11.58574834,378.8651892,6.129856539,115.2161239,1,0,0,1,0,0,0.0056,12500,57,10573.56453,95
Hesperian Boulevard & East 14th Street,37.7063765,-122.1300337,4,Alameda,224354,12.32098044,308.2229916,0,102.219734,1,1,0,1,0,1,0.0041,333750,386,9897.01047,127
East 14th Street & Maud Avenue,37.7221058,-122.1518983,4,Alameda,405184,12.91209657,399.2961257,3.096547687,145.2778892,1,0,0,0,0,0,0.0015,101250,205,9902.472465,100
Masonic Avenue & Solano Avenue,37.8905778,-122.2935761,4,Alameda,1246484,14.03583735,406.044461,15.885436,147.8956039,0,1,0,1,1,1,0.0254,107500,224,12224.19559,86
Dyer Street & Alvarado Niles Road,37.5969519,-122.0709724,4,Alameda,174196,12.06793639,249.0900422,1.49004949,58.85522391,2,0,0,1,0,1,0.01,31250,53,8552.269481,78
Decato Road & Alvarado Niles Road,37.5871688,-122.0215264,4,Alameda,748377,13.52566214,396.3939696,6.840577214,126.6158617,2,0,0,1,0,1,0.0028,96250,126,8384.346582,89
Decato Road & 7th Street,37.5979987,-122.0178516,4,Alameda,102861,11.54113385,390.1007867,1.380902017,85.57085177,1,0,0,1,0,1,0.0145,7500,66,9366.589092,96
Jackson Street & Buchanan Street,37.8875843,-122.3008686,4,Alameda,542965,13.20480014,347.0775636,5.216240826,140.0169228,1,0,0,1,1,1,0.018,2500,11,10613.80878,109
Telegraph Avenue & 40th Street,37.8291068,-122.2644705,4,Alameda,2168678,14.58962832,496.3095163,7.103939416,255.2479293,1,1,0,1,0,1,0.0132,138750,212,15206.62742,247
Fremont Boulevard & Union Street,37.5329241,-121.9591129,4,Alameda,390340,12.87477344,412.8714279,1.967564395,139.3808057,1,0,0,0,0,1,0.0028,422500,502,8105.076769,92
Decoto Road & Paseo Padre Parkway,37.5769858,-122.0269692,4,Alameda,22070,10.00197454,213.7029627,0.741844247,72.34204033,2,0,0,1,0,1,0.0115,1250,4,9234.563436,113
LINCOLN BOULEVARD & BLUFF CREEK DRIVE,33.967652,-118.427404,7,Los Angeles,101932,11.53206121,158.8073099,2.361781714,71.34618849,1,0,0,0,0,0,0.0223,0,20,7217.077942,57
CENTINELA AVENUE & JEFFERSON BOULEVARD,33.981277,-118.409115,7,Los Angeles,83778,11.33592573,262.7185256,3.600883879,121.0763289,1,0,0,1,1,1,0.0014,80000,163,7983.192145,88
CENTINELA AVENUE & CULVER BOULEVARD,33.9909885,-118.4209158,7,Los Angeles,529409,13.17951657,382.6316334,4.959802601,165.3816015,2,0,0,1,0,0,0.0054,15000,9225,12250.79409,125
LA BREA AVENUE & CENTINELA AVENUE,33.976238,-118.357598,7,Los Angeles,677558,13.42625044,521.0289703,4.681414193,211.7338441,1,1,0,1,0,1,0.0296,232500,315,10169.46056,89
LA CIENEGA BOULEVARD & CENTINELA AVENUE,33.977292,-118.370284,7,Los Angeles,225477,12.32597344,387.1087037,0.048592998,141.3378379,2,0,0,1,0,1,0.018,352500,661,11651.0248,114
LA TIEJERA BOULEVARD & CENTINELA BOULEVARD,33.9773011,-118.3717949,7,Los Angeles,428674,12.968452,279.9097248,1.210796538,117.0502943,2,0,0,1,0,1,0.0214,848750,816,11349.11427,116
CENTINELA AVENUE & VENICE BOULEVARD,34.003785,-118.433641,7,Los Angeles,1423612,14.16870786,440.6587671,0.62029226,181.5641514,2,0,0,1,0,1,0.0143,501250,613,13605.74027,162
CENTINELA AVENUE & WASHINGTON BOULEVARD,33.996967,-118.428439,7,Los Angeles,527627,13.17614488,420.6834006,9.296791259,153.5810822,2,0,0,1,0,0,0.0057,66250,202,11390.22544,154
CENTINELA AVENUE & SR-90 EAST BOUND ON/OFF RAMPS,33.985118,-118.413637,7,Los Angeles,29411,10.28912407,241.830425,2.194839655,107.04496,0,0,0,0,0,0,0.0705,1250,3,11480.7999,120
CENTINELA AVENUE & STANDFORD/SR-90 WEST BOUND RAMPS,33.986186,-118.414946,7,Los Angeles,36541,10.50619022,243.5323165,1.378140122,101.6490035,0,0,0,0,0,0,0.0489,1250,8,12261.96561,129
LA BREA AVENUE & HAWTHORNE BOULEVARD / CENTURY BOULEVARD,33.94548,-118.35271,7,Los Angeles,1010745,13.82619824,537.1804835,13.61288276,140.90169,2,0,0,1,0,1,0.011,262500,280,11815.34979,116
INGLEWOOD AVENUE & CENTURY BOULEVARD,33.94544,-118.361331,7,Los Angeles,538565,13.19666348,442.1773533,0.835985918,122.6937138,1,1,0,1,0,0,0.0028,128750,193,6404.644659,70
LA CIENEGA BOULEVARD & CENTURY BOULEVARD,33.94542,-118.370037,7,Los Angeles,606694,13.31577983,379.9968017,4.984154805,112.8089365,2,0,0,1,0,0,0.0074,648750,1749,18584.40034,182
PRAIRIE AVENUE & CENTURY BOULEVARD,33.945454,-118.343915,7,Los Angeles,653571,13.39020645,536.1482866,11.55163085,136.8801301,1,1,0,1,0,1,0.0058,80000,122,6711.796091,52
SEPULVEDA BOULEVARD & CENTURY BOULEVARD,33.94558,-118.396291,7,Los Angeles,320588,12.67791209,0,0,0,1,0,0,1,0,0,0.0366,130000,156,12836.98633,196
DUQUESNE AVENUE & CULVER BOULEVARD,34.021139,-118.396653,7,Los Angeles,627415,13.34936348,301.5906413,8.978480486,138.1073866,1,1,0,1,1,1,0.0107,531250,972,11319.30357,128
NICHOLSON STREET & CULVER BOULEVARD,33.961655,-118.445008,7,Los Angeles,25845,10.15987248,167.9000438,0.045506797,74.67157857,1,0,0,1,0,1,0.0907,70000,95,6152.625711,53
OVERLAND AVENUE & CULVER BOULEVARD,34.013912,-118.402581,7,Los Angeles,336879,12.7274791,254.7313626,2.959852066,97.729063,2,0,0,1,0,1,0.0095,8750,76,10343.81424,108
SAWTELLE BOULEVARD & CULVER BOULEVARD,34.002525,-118.411995,7,Los Angeles,131439,11.78629815,379.4357703,6.15152349,141.8478168,1,0,0,1,0,0,0.0686,26250,54,15234.36223,234
SEPULVEDA BOULEVARD & CULVER BOULEVARD,34.004614,-118.409862,7,Los Angeles,203865,12.22521329,307.4069758,1.85651376,110.9846129,2,0,0,1,0,1,0.0136,116250,179,15312.43502,220
DOUGLAS STREET & EL SEGUNDO BOULEVARD,33.916372,-118.383166,7,Los Angeles,684046,13.43578045,0,0,0,1,1,0,1,0,0,0.0062,112500,3638,6327.140029,75
DOUGLAS STREET & IMPERIAL HIGHWAY,33.930887,-118.383154,7,Los Angeles,213182,12.26990154,0,0,0,1,1,0,0,0,0,0.0078,416250,1578,6686.475448,79
DOUGLAS STREET & MARIPOSA AVENUE,33.92363,-118.383222,7,Los Angeles,137934,11.8345306,0,0,0,0,1,0,0,0,0,0.0042,0,0,4314.719254,22
DOUGLAS STREET & ROSECRANS AVENUE,33.901897,-118.3831,7,Los Angeles,581575,13.27349522,52.40006254,0.469584113,20.02638131,1,1,0,1,0,1,0.0081,810000,1515,5429.638929,57
DUQUESNE AVENUE & JEFFERSON BOULEVARD,34.016748,-118.387997,7,Los Angeles,253104,12.44155575,156.9903102,0.175576751,85.24251581,1,1,0,1,0,1,0.0531,255000,308,6885.074514,48
HAWTHORNE BOULEVARD & EL SEGUNDO BOULEVARD,33.916447,-118.352404,7,Los Angeles,855279,13.65918301,577.7974047,1.545495561,172.580459,2,0,0,1,0,0,0.0085,285000,426,8241.12931,99
INGLEWOOD AVENUE & EL SEGUNDO BOULEVARD,33.916421,-118.361235,7,Los Angeles,199095,12.20153738,372.9310896,0.796296037,118.278635,1,1,0,1,0,0,0.003,15000,222,6651.110409,70
LA CIENEGA BOULEVARD & EL SEGUNDO BOULEVARD,33.91645,-118.371339,7,Los Angeles,34483,10.44822176,137.3473982,0.64320036,47.4049643,2,0,0,0,0,0,0.062,40000,66,16243.71256,211
LINCOLN BOULEVARD & FIJI WAY,33.978509,-118.436544,7,Los Angeles,219066,12.29712834,97.46854731,0,54.80527351,1,0,0,1,0,1,0.0107,125000,174,5561.778102,44
LA BREA AVENUE & FLORENCE AVENUE,33.965388,-118.353371,7,Los Angeles,558263,13.23258546,264.4493217,5.80288106,97.58734735,2,0,0,1,0,1,0.0347,150000,393,10755.87208,104
LA CIENEGA BOULEVARD & FLORENCE AVENUE,33.963353,-118.370591,7,Los Angeles,37277,10.52613182,291.6365607,0.972240439,107.1917491,2,0,0,1,0,1,0.0041,16250,61,17140.63478,224
NASH STREET & GRAND AVENUE,33.919779,-118.387423,7,Los Angeles,321537,12.6808679,0,0,0,0,2,0,1,0,0,0.0134,132500,914,6200.722431,56
SEPULVEDA BOULEVARD & GRAND AVENUE,33.919453,-118.396013,7,Los Angeles,1039116,13.85388091,79.9115424,0.666940035,29.5878852,1,1,0,1,0,0,0.0151,2063750,2966,7913.856196,90
HAWTHORNE BOULEVARD & IMPERIAL HIGHWAY,33.930946,-118.352709,7,Los Angeles,920808,13.73300683,482.6950598,10.59014343,159.6593306,2,0,0,1,0,1,0.0054,236250,262,12326.79309,168
HAWTHORNE BOULEVARD & LENNOX BOULEVARD,33.9382,-118.352683,7,Los Angeles,958974,13.77361924,581.305668,10.08106783,147.0328305,1,1,0,1,0,1,0.0041,141250,265,7063.894582,42
INGELWOOD AVENUE & IMPERIAL HIGHWAY,33.930954,-118.361299,7,Los Angeles,290787,12.58034632,434.5866424,1.757611264,138.3398198,1,1,0,1,0,1,0.0604,35000,44,12988.0283,170
MAIN STREET & IMPERIAL HIGHWAY,33.931033,-118.273906,7,Los Angeles,32725,10.39589462,486.2474295,2.841037389,114.4503393,1,0,0,0,0,1,0.0141,8750,37,13261.00433,180
PRAIRIE AVENUE & IMPERIAL HIGHWAY,33.930942,-118.343875,7,Los Angeles,214358,12.2754028,686.3388841,7.414076109,178.2537088,1,1,0,1,0,1,0.0827,40000,51,12504.74245,198
SEPULVEDA BOULEVARD & IMPERIAL HIGHWAY,33.9309,-118.396105,7,Los Angeles,86020,11.36233512,48.68287599,3.38583912,19.21692473,1,0,0,0,0,1,0.0231,645000,1926,11866.74902,161
NASH STREET & WB I-105 RAMPS / IMPERIAL HIGHWAY,33.930877,-118.387505,7,Los Angeles,179521,12.09804748,0,0,0,1,1,0,1,0,0,0.0055,25000,10,7664.960803,94
I-105 RAMPS (E&O AVIATION BLVD.) / IMPERIAL HIGHWAY,33.930936,-118.375214,7,Los Angeles,123421,11.72335656,0,0,0,0,0,0,0,0,1,0.0079,0,40,10829.52753,166
I-405 NB RAMPS E&O LA CIENEGA BLVD / IMPERIAL HIGHWAY,33.930932,-118.366566,7,Los Angeles,54052,10.89770184,214.7525609,2.321135321,66.26242189,0,0,0,1,0,0,0.0159,0,0,22508.70559,480
INGLEWOOD AVENUE & LENNOX BOULEVARD,33.938199,-118.36132,7,Los Angeles,462243,13.04384601,951.2909871,6.006691425,223.7631669,0,2,0,1,0,0,0.0069,67500,68,7980.061121,51
INGELWOOD AVENUE & MANCHESTER BOULEVARD,33.961669,-118.361712,7,Los Angeles,274005,12.52090164,517.2761294,2.564041128,177.1069151,1,1,0,1,1,0,0.0083,62500,187,9052.101351,83
LINCOLN BOULEVARD & JEFFERSON BOULEVARD,33.972046,-118.430304,7,Los Angeles,161840,11.99436348,159.4579078,2.365673423,71.58818874,2,0,0,1,0,0,0.011,78750,566,6895.554534,41
OVERLAND AVENUE & JEFFERSON BOULEVARD,34.004141,-118.393421,7,Los Angeles,406393,12.91507595,234.4651805,0,111.2835298,2,0,0,1,0,0,0.01,207500,1444,11137.98847,105
SEPULVEDA BOULEVARD & JEFFERSON BOULEVARD,33.996087,-118.3956487,7,Los Angeles,192241,12.16650508,232.8322772,3.790105543,88.79208846,2,0,0,0,0,1,0.0063,481250,713,14159.73846,153
SEPULVEDA BOULEVARD & JEFFERSON BOULEVARD & PLAYA STREET,33.990204,-118.395239,7,Los Angeles,187770,12.14297309,141.5659482,1.202317485,55.89921136,2,0,0,0,0,1,0.0064,233750,400,16667.36413,290
SLAUSON AVENUE & JEFFERSON BOULEVARD,33.988875,-118.397202,7,Los Angeles,29506,10.29234895,141.6963552,1.160109629,56.49636127,2,0,0,1,0,1,0.0057,152500,313,19114.21344,395
NB I-405 RAMPS & JEFFERSON BOULEVARD,33.988,-118.39878,7,Los Angeles,53648,10.89019949,158.6892742,4.936772068,60.5997093,0,0,0,0,0,1,0.0486,45000,84,19382.19666,376
SB I-405 RAMPS & JEFFERSON BOULEVARD,33.987515,-118.399515,7,Los Angeles,54542,10.90672634,154.6181795,6.408618439,58.03079303,0,0,0,1,0,1,0.0133,6250,14,19381.08829,374
LA BREA AVENUE & MANCHESTER BOULEVARD,33.961774,-118.353303,7,Los Angeles,689674,13.4439743,344.6404782,3.297533695,150.857341,2,0,0,1,2,1,0.0315,7.00E+05,821,11525.89072,129
LA BREA AVENUE & SLAUSON AVENUE,33.988545,-118.358502,7,Los Angeles,207653,12.2436237,137.0378836,0,65.06475019,2,0,0,1,1,1,0.0536,41250,110,7244.164278,62
LA CIENEGA BOULEVARD & LA TIJERA BOULEVARD,33.978808,-118.370147,7,Los Angeles,18715,9.837080674,242.0666691,0.019087097,84.63069184,1,1,0,1,0,1,0.0299,186250,315,10968.28672,109
LA CIENEGA BOULEVARD & LENNOX BOULEVARD,33.938188,-118.370031,7,Los Angeles,11183,9.322150136,125.900054,1.266641497,28.10503065,1,1,0,0,0,0,0.0422,10000,127,10600.75191,101
LA CIENEGA BOULEVARD & MANCHESTER BOULEVARD,33.961586,-118.370048,7,Los Angeles,138859,11.84121432,145.2778111,0,32.82547484,2,0,0,1,0,1,0.0676,106250,289,17968.69168,221
LA CIENEGA BOULEVARD NB RAMPS & SLAUSON AVENUE,33.987754,-118.370041,7,Los Angeles,73970,11.2114149,223.7138265,0,84.20563609,1,0,0,1,0,0,0.0867,0,0,14098.14155,110
LA CIENEGA BOULEVARD SB RAMPS & SLAUSON AVENUE,33.987807,-118.37076,7,Los Angeles,34757,10.4561363,226.015454,0,81.50221195,1,0,0,1,0,0,0.081,0,10,14472.64777,110
LA CIENEGA BOULEVARD & 111TH STREET,33.934518,-118.370028,7,Los Angeles,46599,10.74933438,72.40947631,2.340508325,19.74803899,1,1,0,0,0,0,0.0034,247500,1565,12127.03394,116
LA CIENEGA BOULEVARD & WEST 120TH STREET,33.923671,-118.370004,7,Los Angeles,71342,11.17524051,216.7077555,0.527628017,72.79260396,1,1,0,1,0,0,0.0462,7500,142,14272.83213,157
LA CIENEGA BOULEVARD & SB I-405 RAMPS (N/O CENTURY),33.94786,-118.370092,7,Los Angeles,64304,11.07137713,281.3645671,1.702417682,101.7279104,0,0,0,0,0,0,0.0142,262500,374,19171.58896,168
LA CIENEGA BOULEVARD & SB I-405 RAMPS (S/O CENTURY),33.943054,-118.37006,7,Los Angeles,42405,10.65502158,383.4846126,5.674504764,96.44303773,0,0,0,0,0,0,0.0277,91250,303,14362.09726,157
LINCOLN BLVD. & LA TIJERA BLVD.,33.956514,-118.416007,7,Los Angeles,73320,11.20258872,232.4118617,2.196658017,118.4275131,1,1,0,0,0,0,0.0066,27500,548,8748.834793,72
NB I-405 RAMPS & LA TIJERA BOULEVARD,33.97214,-118.377656,7,Los Angeles,53945,10.89572031,364.6869627,5.544640557,175.203786,0,0,0,0,0,1,0.0269,50000,79,11251.72817,82
SB I-405 RAMPS & LA TIJERA BOULEVARD,33.971544,-118.378343,7,Los Angeles,60291,11.00693813,195.0208911,4.301602868,80.92985814,0,0,0,0,0,0,0.026,70000,173,12296.32597,89
SAN MATEO AVENUE & SAN BRUNO AVENUE,37.6308165,-122.4113629,4,San Mateo,96710,11.4794721,326.8666687,16.91310842,95.66742652,0,2,0,1,0,1,0.0105,92500,219,12048.39268,131
LINCOLN BOULEVARD & LMU DRIVE,33.965454,-118.424758,7,Los Angeles,101932,11.53206121,212.5118808,40.24777967,43.30125473,1,0,0,1,0,0,0.0702,0,0,9121.330025,78
LINCOLN BOULEVARD & MANCHESTER AVENUE,33.959844,-118.419393,7,Los Angeles,856592,13.66071701,331.5158864,24.48799911,120.8566953,2,0,0,1,0,0,0.0301,486250,610,13778.73883,113
LINCOLN BOULEVARD & MAXELLA AVENUE,33.985665,-118.443458,7,Los Angeles,542747,13.20439856,553.5221406,31.41535658,312.4877107,1,0,0,0,0,1,0.0246,450000,647,8927.953371,77
LINCOLN BOULEVARD & MINDANAO WAY,33.980472,-118.439087,7,Los Angeles,841392,13.64281294,94.55394849,0,53.32630868,1,1,0,1,0,0,0.0174,1063750,1768,8592.64408,64
SEPULVEDA BOULEVARD & LINCOLN BOULEVARD,33.9523623,-118.3963233,7,Los Angeles,268432,12.50035291,27.27033331,1.067477559,9.771464099,2,0,0,0,0,0,0.0103,37500,116,8408.760335,111
LINCOLN BOULEVARD & VENICE BOULEVARD,33.99412,-118.452879,7,Los Angeles,1178185,13.97948568,329.5951426,5.487851156,149.6911297,2,0,0,1,0,0,0.0061,80000,224,15647.12131,197
LINCOLN BLVD. & WASHINGTON BLVD.,33.990407,-118.447886,7,Los Angeles,939340,13.75293278,657.3598344,39.39708197,365.3933197,2,0,0,1,0,1,0.0108,420000,609,14267.1215,152
LINCOLN BOULEVARD & 83RD STREET,33.962708,-118.421719,7,Los Angeles,204759,12.22958896,276.2355836,46.90506538,62.47097744,1,0,1,1,0,0,0.0367,141250,216,11948.14724,103
LINCOLN BOULEVARD & SR-90 RAMPS,33.984651,-118.44271,7,Los Angeles,47389,10.76614543,410.8723988,21.58892289,231.2477835,2,0,0,0,0,0,0.0037,158750,335,8340.43153,76
PERSHING DRIVE & MANCHESTER AVENUE,33.956456,-118.442478,7,Los Angeles,139920,11.84882612,10.67525563,0,4.558829285,1,0,0,1,0,1,0.0503,125000,183,10583.22714,106
ASH AVENUE & MANCHESTER AVENUE,33.961616,-118.368231,7,Los Angeles,110901,11.6163932,145.2778038,0,32.82547319,1,0,0,1,0,1,0.068,68750,116,16000.95558,202
NASH STREET & MARIPOSA AVENUE,33.923622,-118.387446,7,Los Angeles,395164,12.88705615,0,0,0,0,2,0,1,0,0,0.0073,112500,162,4216.06278,32
SEPULVEDA BOUELVARD & MARIPOSA AVENUE,33.8127593,-118.2972743,7,Los Angeles,1025137,13.84033682,326.0144827,4.506080265,105.7142609,1,0,0,0,0,0,0.0138,82500,309,10802.6173,107
SAWTELLE BOULEVARD & MATTESON STREET / SB i-405 RAMPS,34.009622,-118.418316,7,Los Angeles,68627,11.13644134,367.7138027,6.470597563,136.7219396,1,0,0,1,0,1,0.0116,0,11,16316.27498,168
